Data extracted on 24/07/2020 22:06:29 from [ESTAT],,,,,,,,,,,,,,,,,,,,,
Dataset: ,Percentage of the ICT sector on GDP [TIN00074],,,,,,,,,,,,,,,,,,,,
Last updated: ,02/07/2020 23:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Time frequency [FREQ],,Annual [A],,,,,,,,,,,,,,,,,,,
Classification of economic activities - NACE Rev.2 [NACE_R2],,Information and Communication Technology - Total [ICT],,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TIME,TIME,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
GEO (Codes),GEO (Labels),,,,,,,,,,,,,,,,,,,,
EU27_2020,European Union - 27 countries (from 2020),:,b,:,,:,,:,,:,,:,,:,,:,,:,,:,
EU28,European Union - 28 countries (2013-2020),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
EA19,Euro area - 19 countries  (from 2015),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
BE,Belgium,:,c,4.45,,4.51,,4.13,,4.13,,4.03,,3.82,,3.79,,3.78,,3.74,
BG,Bulgaria,5.01,b,4.85,,4.86,,4.64,,4.57,,4.72,,4.89,,5.05,,5.38,,5.72,
CZ,Czechia,:,c,4.47,,4.43,,4.38,,4.38,,4.4,,4.31,,4.27,,4.29,,4.42,
DK,Denmark,4.63,b,4.83,,4.62,,4.62,,:,c,:,c,:,c,:,c,:,c,:,c
DE,Germany (until 1990 former territory of the FRG),3.98,b,4.15,,3.91,,4.04,,4,,4.08,,4.17,,4.22,,4.13,,4.21,
EE,Estonia,4.37,b,4.95,,4.74,,4.98,,4.66,,4.57,,4.79,,4.7,,4.91,,5.14,
IE,Ireland,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c
EL,Greece,2.61,b,:,c,:,c,2.06,p,2.04,p,1.98,p,1.94,bp,2.17,p,2.13,p,1.91,p
ES,Spain,3.53,b,3.51,,3.44,,3.4,,3.37,,3.31,,3.2,,:,c,:,c,:,c
FR,France,4.04,b,4,,4.04,,4.06,,4.01,,:,c,3.83,b,3.89,b,4,,4.34,bp
HR,Croatia,4.17,b,4.08,,4.62,,4.05,,3.9,,4.12,,4.07,,4.2,,4.22,,4.4,
IT,Italy,3.39,b,:,,:,,3.41,,3.47,,3.24,,3.21,,3.22,,3.27,,3.33,b
CY,Cyprus,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c
LV,Latvia,3.3,b,3.4,,3.54,,3.29,,3.46,,3.73,,3.75,,4.18,,4.6,,4.73,
LT,Lithuania,2.16,b,:,c,2.41,b,2.42,,2.48,,2.38,,2.57,,2.94,,2.95,,3.02,
LU,Luxembourg,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c
HU,Hungary,5.8,b,5.72,,5.67,,5.95,,5.73,,5.8,,5.61,,5.75,,5.69,,6.04,
MT,Malta,6.77,b,6.05,,7.43,,9.02,,8.71,,6.84,,7.13,,7.16,,6.76,,8.73,
NL,Netherlands,:,c,:,c,:,c,:,c,:,c,4.9,,:,c,:,c,:,c,:,c
AT,Austria,3.19,b,3.14,,3.12,,3.25,,3.15,,3.23,,:,c,3.37,,3.46,,3.48,
PL,Poland,:,c,3.06,,3.19,,3.27,,3.12,,3.01,,3.05,,3.15,,3.22,,3.33,
PT,Portugal,3.59,b,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c,:,c
RO,Romania,3.16,b,3.12,p,3.12,,3.1,,3.18,,3.13,,3.31,,3.35,,3.55,,3.53,
SI,Slovenia,3.34,b,:,c,3.5,,3.47,,3.55,,3.56,,3.59,,3.6,,3.6,,3.68,
SK,Slovakia,4.41,b,3.68,,4.64,,4.45,,4.69,,:,c,4.17,,4.35,,4.01,,4.3,
FI,Finland,6.66,b,5.01,,5.17,,4.33,,3.62,,4.32,b,:,c,4.54,,:,c,5.43,b
SE,Sweden,:,c,6.16,,6.28,,:,c,:,c,:,c,6.31,,:,c,:,c,:,c
UK,United Kingdom,5.79,b,:,c,5.4,,:,c,:,c,:,c,5.67,,5.82,,5.87,b,5.96,
IS,Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
LI,Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
NO,Norway,:,b,3.45,,3.37,,3.16,,3.2,,3.19,,3.3,,3.41,,:,c,3.43,
CH,Switzerland,:,b,:,,:,,:,,:,,:,,:,,:,,:,,:,
ME,Montenegro,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
MK,North Macedonia,:,b,:,,:,,:,,:,,:,,:,,:,,:,,:,
AL,Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
RS,Serbia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
TR,Turkey,:,b,:,,:,,:,,:,,:,,:,,:,,:,,:,
BA,Bosnia and Herzegovina,:,b,:,,:,,:,,:,,:,,:,,:,,:,,:,
,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,
bp,"break in time series, provisional",,,,,,,,,,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,,,,,,,,,
c,confidential,,,,,,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,,,,,,
