Binning group#,ID,Germany B2C e_Commerce sales (in billion $US dollars),Global retail e-commerce sales (in billion $US dollars),US Retail e-commerce sales (billion $US dollars)
y_2011,x_2011,20.2,NaN,NaN
y_2012,x_2012,24.4,NaN,NaN
y_2013,x_2013,28,NaN,NaN
y_2014,x_2014,32,NaN,NaN
y_2015,x_2015,35.6,"1,336",NaN
y_2016,x_2016,39.9,"1,548",NaN
y_2017,x_2017,44.2,"1,845",NaN
y_2018,x_2018,48.9,"2,382",279.72
y_2019,x_2019,53.3,"2,982",309.05
y_2020,x_2020,59.2,"3,535",343.15
y_2021,x_2021,NaN,"4,206",374.38
y_2022,x_2022,NaN,"4,927",407.07
y_2023,x_2023,NaN,"5,695",436.12
y_2024,x_2024,NaN,"6,542",459.85
y_2025,x_2025,NaN,NaN,476.46
