month,year,ecomm sales(MIL$),instore sales(MIL$),ecomm %,total sales
Jan,2010,2010,2010,50.0,4020
Feb,2010,2010,2010,50.0,4020
Mar,2010,2010,2010,50.0,4020
Apr,2010,2010,2010,50.0,4020
May,2010,2010,2010,50.0,4020
Jun,2010,2010,2010,50.0,4020
Jul,2010,2010,2010,50.0,4020
Aug,2010,2010,2010,50.0,4020
Sep,2010,2010,2010,50.0,4020
Oct,2010,2010,2010,50.0,4020
Nov,2010,2010,2010,50.0,4020
Dec,2010,2010,2010,50.0,4020
Jan,2011,2011,2011,50.0,4022
Feb,2011,2011,2011,50.0,4022
Mar,2011,2011,2011,50.0,4022
Apr,2011,2011,2011,50.0,4022
May,2011,2011,2011,50.0,4022
Jun,2011,2011,2011,50.0,4022
Jul,2011,2011,2011,50.0,4022
Aug,2011,2011,2011,50.0,4022
Sep,2011,2011,2011,50.0,4022
Oct,2011,2011,2011,50.0,4022
Nov,2011,2011,2011,50.0,4022
Dec,2011,2011,2011,50.0,4022
Jan,2012,2012,2012,50.0,4024
Feb,2012,2012,2012,50.0,4024
Mar,2012,2012,2012,50.0,4024
Apr,2012,2012,2012,50.0,4024
May,2012,2012,2012,50.0,4024
Jun,2012,2012,2012,50.0,4024
Jul,2012,2012,2012,50.0,4024
Aug,2012,2012,2012,50.0,4024
Sep,2012,2012,2012,50.0,4024
Oct,2012,2012,2012,50.0,4024
Nov,2012,2012,2012,50.0,4024
Dec,2012,2012,2012,50.0,4024
Jan,2013,2013,2013,50.0,4026
Feb,2013,2013,2013,50.0,4026
Mar,2013,2013,2013,50.0,4026
Apr,2013,2013,2013,50.0,4026
May,2013,2013,2013,50.0,4026
Jun,2013,2013,2013,50.0,4026
Jul,2013,2013,2013,50.0,4026
Aug,2013,2013,2013,50.0,4026
Sep,2013,2013,2013,50.0,4026
Oct,2013,2013,2013,50.0,4026
Nov,2013,2013,2013,50.0,4026
Dec,2013,2013,2013,50.0,4026
Jan,2014,2014,2014,50.0,4028
Feb,2014,2014,2014,50.0,4028
Mar,2014,2014,2014,50.0,4028
Apr,2014,2014,2014,50.0,4028
May,2014,2014,2014,50.0,4028
Jun,2014,2014,2014,50.0,4028
Jul,2014,2014,2014,50.0,4028
Aug,2014,2014,2014,50.0,4028
Sep,2014,2014,2014,50.0,4028
Oct,2014,2014,2014,50.0,4028
Nov,2014,2014,2014,50.0,4028
Dec,2014,2014,2014,50.0,4028
Jan,2015,2015,2015,50.0,4030
Feb,2015,2015,2015,50.0,4030
Mar,2015,2015,2015,50.0,4030
Apr,2015,2015,2015,50.0,4030
May,2015,2015,2015,50.0,4030
Jun,2015,2015,2015,50.0,4030
Jul,2015,2015,2015,50.0,4030
Aug,2015,2015,2015,50.0,4030
Sep,2015,2015,2015,50.0,4030
Oct,2015,2015,2015,50.0,4030
Nov,2015,2015,2015,50.0,4030
Dec,2015,2015,2015,50.0,4030
Jan,2016,2016,2016,50.0,4032
Feb,2016,2016,2016,50.0,4032
Mar,2016,2016,2016,50.0,4032
Apr,2016,2016,2016,50.0,4032
May,2016,2016,2016,50.0,4032
Jun,2016,2016,2016,50.0,4032
Jul,2016,2016,2016,50.0,4032
Aug,2016,2016,2016,50.0,4032
Sep,2016,2016,2016,50.0,4032
Oct,2016,2016,2016,50.0,4032
Nov,2016,2016,2016,50.0,4032
Dec,2016,2016,2016,50.0,4032
Jan,2017,2017,2017,50.0,4034
Feb,2017,2017,2017,50.0,4034
Mar,2017,2017,2017,50.0,4034
Apr,2017,2017,2017,50.0,4034
May,2017,2017,2017,50.0,4034
Jun,2017,2017,2017,50.0,4034
Jul,2017,2017,2017,50.0,4034
Aug,2017,2017,2017,50.0,4034
Sep,2017,2017,2017,50.0,4034
Oct,2017,2017,2017,50.0,4034
Nov,2017,2017,2017,50.0,4034
Dec,2017,2017,2017,50.0,4034
Jan,2018,2018,2018,50.0,4036
Feb,2018,2018,2018,50.0,4036
Mar,2018,2018,2018,50.0,4036
Apr,2018,2018,2018,50.0,4036
May,2018,2018,2018,50.0,4036
Jun,2018,2018,2018,50.0,4036
Jul,2018,2018,2018,50.0,4036
Aug,2018,2018,2018,50.0,4036
Sep,2018,2018,2018,50.0,4036
Oct,2018,2018,2018,50.0,4036
Nov,2018,2018,2018,50.0,4036
Dec,2018,2018,2018,50.0,4036
Jan,2019,2019,2019,50.0,4038
Feb,2019,2019,2019,50.0,4038
Mar,2019,2019,2019,50.0,4038
Apr,2019,2019,2019,50.0,4038
May,2019,2019,2019,50.0,4038
Jun,2019,2019,2019,50.0,4038
Jul,2019,2019,2019,50.0,4038
Aug,2019,2019,2019,50.0,4038
Sep,2019,2019,2019,50.0,4038
Oct,2019,2019,2019,50.0,4038
Nov,2019,2019,2019,50.0,4038
Dec,2019,2019,2019,50.0,4038
Jan,2020,2020,2020,50.0,4040
Feb,2020,2020,2020,50.0,4040
Mar,2020,2020,2020,50.0,4040
Apr,2020,2020,2020,50.0,4040
May,2020,2020,2020,50.0,4040
