year,ecomm sales(MIL$),instore sales(MIL$),ecomm %,instore %,total sales
2010,263488,2830218,8.52,91.48,3093706
2011,294697,2957210,9.06,90.94,3251907
2012,328655,3055822,9.71,90.29,3384477
2013,350487,3142369,10.03,89.97,3492856
2014,386065,3269950,10.56,89.44,3656015
2015,433987,3377361,11.39,88.61,3811348
2016,488840,3457940,12.39,87.61,3946780
2017,551298,3561682,13.4,86.6,4112980
2018,611743,3694634,14.21,85.79,4306377
2019,705534,3773927,15.75,84.25,4479461
2020,318842,1423609,18.3,81.7,1742451
